D,L,NC,W,dob,fname,height,lname,name,nick,reach,sapm,slpm,stance,str. acc,str. def,sub. avg,td acc,td avg,td def,weight
0,3,,17,1991-08-25,Leon,72.0,Edwards,Leon Edwards,Rocky,74.0,1.86,2.35,Southpaw,0.49,0.55,0.5,0.31,1.33,0.67,170.0
0,1,,0,,John,,Yoo,John Yoo,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,135.0
0,3,,1,,Harold,74.0,Howard,Harold Howard,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,240.0
0,1,,1,1985-03-22,Mike,74.0,Jackson,Mike Jackson,The Truth,,1.33,4.25,Orthodox,0.58,0.75,0.0,1.0,0.95,0.88,170.0
0,1,,1,,Matt,,Helm,Matt Helm,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,2,,3,1970-10-08,Siala,73.0,Siliga,Siala Siliga,Mighty Mo,,1.96,1.08,Orthodox,0.26,0.5,0.0,0.5,1.47,0.8,290.0
1,4,,17,1988-07-28,Gunnar,71.0,Nelson,Gunnar Nelson,Gunni,72.0,3.51,1.76,Switch,0.57,0.48,1.0,0.6,1.95,0.66,170.0
1,11,1.0,28,1984-02-20,Tim,74.0,Means,Tim Means,The Dirty Bird,75.0,3.31,4.82,Orthodox,0.45,0.62,0.2,0.52,0.88,0.63,170.0
0,2,,5,1984-09-17,Sean,70.0,Holden,Sean Holden,,,0.6,2.4,,0.59,0.59,2.0,0.83,5.0,0.0,170.0
0,2,,14,1984-06-09,Muslim,71.0,Salikhov,Muslim Salikhov,King of Kung Fu,70.0,1.42,1.99,Orthodox,0.46,0.63,0.0,0.0,0.0,0.62,170.0
0,3,,14,1992-12-24,Klidson,72.0,Abreu,Klidson Abreu,White Bear,74.0,2.0,1.53,Orthodox,0.37,0.55,0.0,0.0,0.0,0.66,235.0
0,0,,1,,Shingo,66.0,Kohara,Shingo Kohara,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,135.0
0,1,,0,1967-01-23,Matt,75.0,Skelton,Matt Skelton,,,0.54,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.66,265.0
0,1,,5,1992-10-07,Mike,72.0,Davis,Mike Davis,Beast Boy,72.0,7.4,5.13,Orthodox,0.49,0.48,0.0,0.0,0.0,1.0,145.0
0,2,,3,,Kemran,,Lachinov,Kemran Lachinov,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
1,7,,10,,Justin,,Smitley,Justin Smitley,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,6,,19,1988-04-01,Derek,69.0,Campos,Derek Campos,The Stallion,,10.34,2.41,,0.23,0.44,0.0,0.0,0.0,0.0,155.0
1,9,,24,1986-09-09,Bobby,70.0,Green,Bobby Green,King,71.0,3.87,5.11,Orthodox,0.49,0.62,0.3,0.25,1.03,0.75,155.0
0,7,,4,,Denis,75.0,Sobolev,Denis Sobolev,,,5.45,0.0,Orthodox,0.0,0.33,0.0,0.0,0.0,0.0,216.0
0,7,,8,1979-07-07,Pat,71.0,Barry,Pat Barry,HD,74.0,3.54,2.72,Orthodox,0.52,0.59,0.2,0.0,0.0,0.76,235.0
1,9,,9,,Brian,68.0,Sleeman,Brian Sleeman,,,1.85,4.0,,0.48,0.7,0.0,1.0,9.23,1.0,185.0
0,3,,1,,David,77.0,Levicki,David Levicki,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,275.0
0,3,,8,1988-07-17,Alfred,68.0,Khashakyan,Alfred Khashakyan,The Fearless,70.0,6.38,6.14,Orthodox,0.42,0.4,0.0,0.25,3.54,0.0,135.0
0,8,,21,1969-12-17,Chuck,74.0,Liddell,Chuck Liddell,The Iceman,76.0,2.71,2.97,Orthodox,0.35,0.56,0.0,0.75,0.44,0.81,205.0
0,3,,1,,Herman,72.0,Renting,Herman Renting,,,0.0,0.0,Switch,0.0,0.0,0.0,0.0,0.0,0.0,215.0
0,10,1.0,25,1982-05-17,Dan,72.0,Hardy,Dan Hardy,The Outlaw,74.0,3.44,2.46,Orthodox,0.35,0.51,0.4,0.35,0.73,0.35,170.0
0,2,,2,1981-06-21,John,70.0,Polakowski,John Polakowski,Buckets of Blood,,2.05,0.14,Orthodox,0.04,0.44,2.0,0.0,0.0,0.75,155.0
0,7,,3,1975-01-22,Min,73.0,Soo Kim,Min Soo Kim,,,3.48,0.87,Southpaw,1.0,0.2,0.0,0.0,0.0,0.0,255.0
0,1,,2,1988-10-27,Karl,75.0,Reed,Karl Reed,No Worries,78.0,3.13,2.2,Orthodox,0.42,0.52,0.0,0.0,0.0,0.57,205.0
0,5,,19,1987-07-28,Willamy,68.0,Freire,Willamy Freire,Chiquerim,,0.93,1.53,,0.37,0.62,0.0,1.0,0.5,0.73,155.0
1,11,,18,1986-10-07,Raja,66.0,Shippen,Raja Shippen,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,5,,10,1984-07-28,George,67.0,Pacurariu,George Pacurariu,Constantine,,2.68,4.69,,0.53,0.63,5.0,1.0,5.03,1.0,135.0
0,1,,4,1983-11-04,Willie,70.0,Parks,Willie Parks,Slick,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,7,,7,,J.T,70.0,Taylor,J.T Taylor,The Outlaw,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0,12,,18,1982-06-28,DaMarques,73.0,Johnson,DaMarques Johnson,Darkness,75.0,3.75,2.11,Orthodox,0.37,0.51,0.7,0.55,1.18,0.19,170.0
0,1,,2,,Paul,,Song,Paul Song,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,0,,2,,Alan,,Gomez,Alan Gomez,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,3,,13,1977-04-30,Yoel,72.0,Romero,Yoel Romero,Soldier of God,73.0,2.77,3.28,Southpaw,0.5,0.63,0.0,0.32,1.86,0.78,185.0
0,8,,11,1988-10-19,Sabah,72.0,Homasi,Sabah Homasi,The Problem,72.0,6.91,4.98,Orthodox,0.48,0.47,0.0,0.5,2.8,0.66,170.0
2,6,,21,1989-10-07,Ulka,70.0,Sasaki,Ulka Sasaki,Ulka,71.0,2.5,2.16,Southpaw,0.41,0.5,1.2,0.43,3.03,0.41,125.0
0,16,,26,1975-06-03,Jason,75.0,MacDonald,Jason MacDonald,The Athlete,80.0,2.7,1.55,Orthodox,0.52,0.46,2.0,0.16,1.43,0.35,185.0
1,5,,14,1982-07-23,Sergio,72.0,Moraes,Sergio Moraes,The Panther,72.0,3.27,2.48,Orthodox,0.43,0.63,0.5,0.4,1.33,0.75,170.0
0,4,,9,1980-01-02,Oli,73.0,Thompson,Oli Thompson,,75.0,5.31,1.66,Orthodox,0.46,0.46,0.5,0.0,0.0,0.5,242.0
0,6,,6,,Jay,,Bogan,Jay Bogan,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,0,,4,,Ben,71.0,Holscher,Ben Holscher,The Teacher,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
2,6,,42,1985-08-01,Gegard,74.0,Mousasi,Gegard Mousasi,,76.0,1.21,3.75,Orthodox,0.5,0.68,1.1,0.6,1.59,0.59,185.0
0,3,,13,1989-07-24,Jamall,70.0,Emmers,Jamall Emmers,Pretty Boy,74.0,8.76,8.27,Orthodox,0.68,0.44,0.0,0.0,0.0,1.0,145.0
0,13,1.0,28,1982-03-20,Robbie,71.0,Lawler,Robbie Lawler,Ruthless,74.0,3.95,3.6,Southpaw,0.45,0.6,0.0,0.66,0.76,0.69,170.0
0,1,,6,1995-06-12,Kyler,68.0,Phillips,Kyler Phillips,The Matrix,,2.61,18.26,Orthodox,0.56,0.5,0.0,0.0,0.0,1.0,135.0
0,2,,0,1979-03-01,Alexandre,74.0,Dantas,Alexandre Dantas,Cafe,,1.87,0.21,Orthodox,0.25,0.6,3.1,0.0,0.0,0.0,238.0
0,9,,20,,Egidijus,72.0,Valavicius,Egidijus Valavicius,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,200.0
0,1,,0,,Ernie,71.0,Verdicia,Ernie Verdicia,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,199.0
0,4,,1,,John,74.0,Matua,John Matua,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,400.0
0,7,1.0,19,1980-02-28,Francimar,73.0,Barroso,Francimar Barroso,Bodao,75.0,3.07,2.77,Orthodox,0.52,0.59,0.0,0.24,2.22,0.83,205.0
1,7,,22,1989-09-02,Alejandro,66.0,Perez,Alejandro Perez,Turbo,67.0,2.92,3.58,Orthodox,0.35,0.64,0.1,0.2,0.53,0.73,135.0
0,3,,6,1975-12-10,Jon,78.0,Olav Einemo,Jon Olav Einemo,The Viking,,3.05,2.15,Orthodox,0.52,0.52,0.0,0.55,1.73,0.43,253.0
0,6,1.0,10,1969-12-16,Bobby,74.0,Southworth,Bobby Southworth,,,1.38,0.99,Orthodox,0.39,0.65,1.3,0.78,3.98,0.64,205.0
0,2,,3,,Frederick,72.0,Brown,Frederick Brown,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,235.0
0,3,,15,1979-08-21,Dave,69.0,Jansen,Dave Jansen,,73.0,3.67,2.94,Orthodox,0.33,0.58,0.9,0.28,2.79,0.38,155.0
0,1,,6,1985-08-28,Thanh,69.0,Le,Thanh Le,,74.0,1.82,1.97,Orthodox,0.4,0.7,0.0,0.0,0.0,1.0,145.0
0,5,,11,1985-07-18,Darrill,74.0,Schoonover,Darrill Schoonover,The Boss,,4.35,1.2,Orthodox,0.33,0.38,1.1,0.0,0.0,0.5,220.0
0,4,,6,,Chris,,Brown,Chris Brown,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
1,16,,35,1984-04-22,Alonzo,70.0,Martinez,Alonzo Martinez,Zo Diddy,,7.33,3.07,,0.27,0.52,0.0,0.0,0.0,0.0,155.0
0,10,1.0,14,,Aaron,69.0,Miller,Aaron Miller,Blood Spiller,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,7,,9,,David,70.0,Lee,David Lee,,,3.31,1.49,Orthodox,0.5,0.42,0.0,0.0,0.0,0.5,155.0
0,3,1.0,14,1990-02-02,Derek,72.0,Anderson,Derek Anderson,Barbaric,,3.08,3.97,,0.37,0.61,0.0,0.14,0.34,0.6,155.0
5,15,,15,1979-10-05,Kenji,70.0,Arai,Kenji Arai,,,10.29,8.79,Southpaw,0.27,0.39,0.0,0.0,0.0,0.0,145.0
0,7,1.0,11,1983-06-10,Walt,77.0,Harris,Walt Harris,The Big Ticket,77.0,2.69,2.75,Southpaw,0.36,0.61,0.2,0.33,0.36,0.76,250.0
0,1,,2,,Reza,71.0,Nasri,Reza Nasri,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,205.0
0,4,,9,1988-03-26,Irene,69.0,Aldana,Irene Aldana,,68.0,7.08,6.35,Orthodox,0.43,0.61,0.0,0.5,0.5,0.95,135.0
2,7,,6,1973-07-13,Tsuyoshi,70.0,Kurihara,Tsuyoshi Kurihara,,,12.0,0.0,Orthodox,0.0,0.5,0.0,0.0,0.0,0.0,185.0
0,5,,10,1974-05-14,Alex,71.0,Andrade,Alex Andrade,El Toro,,2.6,0.2,Orthodox,0.36,0.53,0.8,0.0,0.0,0.25,200.0
0,3,,9,1994-03-06,Mads,68.0,Burnell,Mads Burnell,,69.0,2.71,1.28,Orthodox,0.41,0.51,0.4,0.47,3.45,0.22,145.0
1,7,,11,1967-01-29,Stephen,64.0,Palling,Stephen Palling,Bozo,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,143.0
0,3,,1,,Michael,,Diaz,Michael Diaz,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,260.0
1,3,,17,1983-10-03,Leo,70.0,Kuntz,Leo Kuntz,The Lion,74.0,3.8,1.68,Orthodox,0.32,0.45,0.7,0.25,1.99,0.33,155.0
0,10,,6,,Khomkrit,62.0,Niimi,Khomkrit Niimi,The Bumblebee,,5.73,0.0,,0.0,0.44,0.0,0.0,0.0,0.0,125.0
0,10,,15,1972-10-05,Anthony,75.0,Perosh,Anthony Perosh,The Hippo,75.0,3.77,2.27,Orthodox,0.43,0.53,1.1,0.22,2.03,0.33,205.0
0,0,,3,,Brandon,73.0,Hester,Brandon Hester,The Beast,,0.4,3.53,,0.53,0.68,0.0,0.8,4.0,0.0,205.0
0,2,,1,1983-08-08,David,,Gomez,David Gomez,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
0,4,,6,1987-08-04,Oluwale,71.0,Bamgbose,Oluwale Bamgbose,Holy War Angel,78.0,2.7,2.45,Switch,0.48,0.55,0.0,0.33,0.94,0.37,185.0
1,2,,14,1965-02-24,Andre,74.0,Roberts,Andre Roberts,The Chief,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,345.0
1,6,,20,1979-12-05,Marcos,69.0,Vinicius,Marcos Vinicius,Vina,70.0,2.91,1.93,Orthodox,0.49,0.47,0.5,0.0,0.0,0.25,125.0
0,3,,5,,Brandon,77.0,Cash,Brandon Cash,Money,,0.68,5.42,Orthodox,0.72,0.33,0.0,0.66,10.17,0.0,255.0
1,9,1.0,10,1987-10-25,Keith,73.0,Berry,Keith Berry,,,7.5,0.0,,0.0,0.45,0.0,0.0,0.0,0.0,185.0
0,2,,13,1976-07-17,Sean,79.0,McCorkle,Sean McCorkle,,81.0,2.48,0.85,Orthodox,0.44,0.52,4.2,0.4,2.12,0.33,265.0
0,4,,11,1986-01-10,Eric,68.0,Irvin,Eric Irvin,,,4.47,3.27,,0.42,0.36,0.0,0.3,4.0,0.33,155.0
0,1,,10,1982-11-14,Stephen,69.0,Bass,Stephen Bass,Bigfish,,5.87,4.87,,0.52,0.55,0.0,0.0,0.0,0.0,145.0
0,3,,5,1984-12-30,Nick,74.0,Osipczak,Nick Osipczak,,76.0,3.77,2.83,Orthodox,0.5,0.5,1.0,0.45,1.2,0.71,170.0
0,3,,6,1987-04-17,Nick,67.0,Pace,Nick Pace,,68.0,3.14,1.48,Orthodox,0.34,0.57,0.5,0.43,2.52,0.54,135.0
0,1,,0,,Jose,,Barreto,Jose Barreto,,,0.0,0.0,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,185.0
1,5,1.0,27,1978-02-24,Jon,72.0,Fitch,Jon Fitch,,76.0,1.65,2.61,Orthodox,0.5,0.54,0.8,0.51,3.6,0.56,170.0
0,13,1.0,47,1977-08-19,Ricco,76.0,Rodriguez,Ricco Rodriguez,Suave,,1.15,1.85,Orthodox,0.51,0.61,1.0,0.39,2.3,0.4,265.0
0,6,,17,1984-05-01,Anton,68.0,Kuivanen,Anton Kuivanen,,72.0,1.63,2.27,Orthodox,0.38,0.67,0.4,1.0,1.2,0.71,155.0
0,4,,6,,Russell,69.0,Patrick,Russell Patrick,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,2,,13,1988-08-04,Paul,72.0,Sass,Paul Sass,,73.0,1.9,0.53,Orthodox,0.26,0.51,7.4,0.16,0.53,0.33,155.0
1,18,,15,1970-01-26,Jimmy,74.0,Ambriz,Jimmy Ambriz,The Titan,,3.76,0.83,Southpaw,0.29,0.4,0.8,0.57,3.13,1.0,315.0
0,6,,14,1977-07-09,George,70.0,Sotiropoulos,George Sotiropoulos,,71.0,2.52,2.61,Orthodox,0.27,0.67,1.6,0.31,2.32,0.53,155.0
0,7,,12,1972-04-14,Scott,72.0,Harper,Scott Harper,,,4.98,1.3,Orthodox,0.54,0.47,0.0,1.0,3.25,0.0,185.0
0,6,,10,1977-09-20,Alex,68.0,Karalexis,Alex Karalexis,The Assassin,66.0,2.37,2.39,Orthodox,0.38,0.57,1.1,0.42,2.64,0.86,155.0
0,2,,6,,Gary,67.0,Tapusoa,Gary Tapusoa,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,8,,18,1990-02-13,Dan,72.0,Hooker,Dan Hooker,The Hangman,75.0,5.13,4.35,Switch,0.43,0.54,0.5,0.37,0.47,0.77,155.0
0,9,,14,1990-07-01,Craig,74.0,White,Craig White,The Thundercat,76.0,3.28,1.23,Orthodox,0.4,0.39,0.8,0.0,0.0,0.5,170.0
0,8,,15,1980-01-04,Donny,69.0,Walker,Donny Walker,Eagle Eye,,3.85,1.81,,0.37,0.46,1.7,0.0,0.0,0.57,135.0
1,7,,18,1982-07-17,Travis,78.0,Browne,Travis Browne,Hapa,79.0,4.31,2.93,Orthodox,0.41,0.42,0.2,0.68,1.21,0.75,255.0
1,3,,15,1993-06-17,Luan,72.0,Chagas,Luan Chagas,Tarzan,75.0,3.19,4.16,Orthodox,0.47,0.62,0.3,0.12,0.32,0.85,170.0
0,3,,8,1984-04-24,Germaine,69.0,de Randamie,Germaine de Randamie,The Iron Lady,71.0,2.16,3.13,Orthodox,0.45,0.67,0.2,0.0,0.0,0.88,135.0
2,13,,16,1978-12-13,BJ,69.0,Penn,BJ Penn,The Prodigy,70.0,3.12,2.7,Orthodox,0.49,0.56,0.5,0.55,1.24,0.75,155.0
0,6,,4,,Kenneth,72.0,Seegrist,Kenneth Seegrist,,,1.28,3.21,Orthodox,0.66,0.0,14.4,0.0,0.0,0.4,185.0
0,2,,4,1980-12-17,Shana,67.0,Olsen,Shana Olsen,Rock Solid,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,145.0
0,3,,1,1970-05-31,Takashi,71.0,Sugiura,Takashi Sugiura,,,2.08,1.37,Southpaw,0.4,0.53,0.0,0.66,1.33,0.0,225.0
0,2,,8,1981-04-25,Clifford,72.0,Starks,Clifford Starks,,77.0,2.49,1.94,Orthodox,0.33,0.58,0.0,1.0,1.94,0.6,185.0
0,6,,15,1974-12-08,Dante,73.0,Rivera,Dante Rivera,,,4.0,2.27,Southpaw,0.53,0.25,0.0,0.0,0.0,0.16,185.0
0,5,,5,1974-06-01,Antonio,69.0,Schembri,Antonio Schembri,Nino,,2.12,0.72,Orthodox,0.26,0.55,0.4,0.4,1.31,0.0,205.0
0,1,,4,1995-01-28,Luis,67.0,Gomez,Luis Gomez,Tiger Junior,68.0,4.03,1.57,Orthodox,0.33,0.55,0.0,0.5,4.48,0.33,145.0
1,2,,4,1989-10-12,Collin,73.0,Hart,Collin Hart,,76.0,7.53,6.33,Orthodox,0.44,0.51,0.0,0.16,2.0,0.5,185.0
0,4,,21,1988-07-14,Conor,69.0,McGregor,Conor McGregor,The Notorious,74.0,4.43,5.27,Southpaw,0.48,0.55,0.0,0.62,0.75,0.7,155.0
0,9,,26,1984-09-12,Jameel,70.0,Massouh,Jameel Massouh,,72.0,2.62,1.91,Orthodox,0.54,0.55,0.7,0.15,0.67,0.5,145.0
0,8,,14,1984-09-18,Felice,64.0,Herrig,Felice Herrig,Lil Bulldog,65.0,4.89,3.69,Orthodox,0.36,0.5,0.9,0.3,1.2,0.76,115.0
0,6,,2,,Roshaun,68.0,Jones,Roshaun Jones,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,135.0
1,9,,9,1990-03-10,Zhang,71.0,Lipeng,Zhang Lipeng,The Warrior,71.0,1.88,1.28,Southpaw,0.48,0.53,0.8,0.3,1.75,0.69,155.0
0,3,,8,1988-04-13,Luke,78.0,Barnatt,Luke Barnatt,The Bigslow,77.0,3.87,4.43,Orthodox,0.36,0.59,0.4,0.42,0.63,0.63,185.0
1,13,1.0,18,1977-05-25,Brad,70.0,Blackburn,Brad Blackburn,Bad Brad,73.0,3.59,4.55,Orthodox,0.35,0.65,0.7,0.5,0.93,0.76,170.0
0,6,,13,1984-02-19,Liz,66.0,Carmouche,Liz Carmouche,Girlrilla,66.0,2.63,3.09,Orthodox,0.56,0.61,0.4,0.55,2.95,0.67,125.0
0,6,,12,1989-06-24,Bradley,73.0,Scott,Bradley Scott,Bear,76.0,4.31,3.52,,0.41,0.57,0.7,0.15,0.32,0.63,170.0
0,2,,1,,Crezio,,de Souza,Crezio de Souza,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,170.0
0,2,,7,,Rex,77.0,Richards,Rex Richards,,,5.29,17.65,,0.58,0.72,0.0,0.0,0.0,0.0,265.0
1,17,,24,1980-11-04,Brian,67.0,Geraghty,Brian Geraghty,Duke,,9.77,0.47,Orthodox,0.25,0.36,0.0,0.0,0.0,0.5,155.0
0,6,,15,1984-10-12,Daniel,76.0,Spohn,Daniel Spohn,Dragon,79.0,1.6,2.42,Southpaw,0.49,0.53,2.5,0.0,0.0,0.28,205.0
0,5,,12,1978-06-24,Joe,68.0,Hurley,Joe Hurley,,,3.35,1.12,,0.45,0.56,0.0,0.0,0.0,0.2,155.0
0,5,,14,1983-12-30,Todd,69.0,Moore,Todd Moore,,71.0,2.3,1.83,Southpaw,0.26,0.57,0.0,0.14,0.78,0.54,170.0
0,3,,6,,Josh,73.0,Bumgarner,Josh Bumgarner,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,170.0
1,7,1.0,20,1967-02-01,Bill,75.0,Mahood,Bill Mahood,The Butcher,,3.59,1.54,Orthodox,0.85,0.17,3.9,0.0,0.0,0.0,200.0
0,2,,0,,Dustin,64.0,Moore,Dustin Moore,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,125.0
0,2,,3,1992-06-03,Vernon,66.0,Ramos,Vernon Ramos,,72.0,8.0,4.0,Orthodox,0.25,0.55,0.0,0.0,0.0,0.0,170.0
0,5,,8,1985-11-19,Erick,72.0,Montano,Erick Montano,Perry,73.0,2.06,2.79,Orthodox,0.44,0.64,0.0,0.36,2.29,0.66,170.0
0,3,,13,1984-12-07,Dongi,70.0,Yang,Dongi Yang,The Ox,71.0,3.21,3.55,Southpaw,0.51,0.63,0.5,0.41,1.7,0.61,185.0
0,1,,0,,Demetrius,71.0,Gioulacos,Demetrius Gioulacos,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,185.0
0,2,,11,1989-01-31,Kyle,74.0,Stewart,Kyle Stewart,Gunz Up,76.0,2.32,1.16,Orthodox,0.33,0.47,0.0,1.0,3.86,0.5,170.0
0,3,,6,1981-09-24,Kris,72.0,McCray,Kris McCray,Savage,76.0,2.57,2.69,Orthodox,0.45,0.54,0.0,0.55,2.88,0.38,170.0
0,5,,8,1978-04-24,Achmed,75.0,Labasanov,Achmed Labasanov,,,1.1,0.75,Orthodox,0.39,0.46,0.8,1.0,3.0,0.0,215.0
0,5,,5,,Brian,75.0,Johnston,Brian Johnston,,,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,230.0
3,2,,14,1966-12-12,Royce,73.0,Gracie,Royce Gracie,,,1.13,0.88,Southpaw,0.41,0.37,0.8,0.0,0.0,0.66,175.0
0,5,,2,,Clint,,Coronel,Clint Coronel,,,5.6,4.93,,0.32,0.66,0.0,0.0,0.0,0.66,155.0
0,4,1.0,7,,Chase,75.0,Gormley,Chase Gormley,,,6.03,3.6,Orthodox,0.42,0.44,1.0,0.42,3.12,0.0,265.0
0,6,,9,1975-09-22,Jason,78.0,Riley,Jason Riley,The Juggernaut,,9.68,0.0,,0.0,0.33,0.0,0.0,0.0,0.5,245.0
0,1,,1,,Brandon,,Polcare,Brandon Polcare,,,0.0,0.43,,0.5,0.0,0.0,0.0,0.0,0.0,125.0
0,5,1.0,17,1985-05-24,Hernani,72.0,Perpetuo,Hernani Perpetuo,,74.0,4.37,2.73,Orthodox,0.29,0.55,0.5,0.0,0.0,0.37,170.0
0,3,,7,1990-08-27,Dayana,67.0,Silva,Dayana Silva,,,5.93,6.33,Orthodox,0.51,0.57,0.0,0.0,0.0,0.42,135.0
0,5,,16,1987-01-01,TJ,74.0,O'Brien,TJ O'Brien,The Spider,,4.78,3.77,Orthodox,0.46,0.57,0.0,1.0,0.94,0.0,155.0
1,16,,21,1982-04-23,Diego,66.0,Saraiva,Diego Saraiva,The Octopus,,3.58,1.64,Orthodox,0.32,0.62,0.7,0.4,1.33,0.0,155.0
0,1,,7,1976-07-16,Bobby,75.0,Lashley,Bobby Lashley,,78.0,0.76,3.1,Orthodox,0.63,0.63,0.0,0.7,11.47,0.0,255.0
0,7,,13,,Jeremiah,73.0,Metcalf,Jeremiah Metcalf,,,0.27,1.74,Orthodox,0.59,0.6,2.0,0.66,4.02,1.0,185.0
0,4,,14,1988-05-20,Scott,75.0,Askham,Scott Askham,,75.0,3.52,3.03,Southpaw,0.46,0.52,0.7,0.18,0.44,0.65,185.0
0,14,1.0,26,1977-04-01,Vitor,72.0,Belfort,Vitor Belfort,The Phenom,74.0,2.83,1.59,Southpaw,0.46,0.5,0.6,0.6,1.02,0.53,185.0
0,3,2.0,16,1982-11-12,Thiago,74.0,Silva,Thiago Silva,,74.0,2.55,3.92,Orthodox,0.5,0.67,0.7,0.47,1.03,0.7,205.0
0,4,1.0,14,1984-04-24,Nick,66.0,Hein,Nick Hein,Sergeant,66.0,2.93,2.54,Southpaw,0.33,0.62,0.0,0.33,0.8,0.83,155.0
0,5,,9,1982-09-19,Jeremy,70.0,Jackson,Jeremy Jackson,Scorpion,,2.03,0.71,Orthodox,0.27,0.25,0.0,0.4,1.52,0.58,170.0
0,5,1.0,30,1983-05-09,Shinya,71.0,Aoki,Shinya Aoki,Tobikan Judan,,1.25,0.97,Southpaw,0.58,0.58,4.0,0.41,2.54,0.6,154.0
1,5,,8,1983-07-02,Reuben,67.0,Duran,Reuben Duran,,69.0,2.61,3.19,Orthodox,0.49,0.5,0.7,0.23,0.98,0.25,135.0
0,4,,4,1978-10-03,Corey,76.0,Hill,Corey Hill,,80.0,1.61,3.57,Orthodox,0.46,0.7,0.0,0.8,3.02,1.0,155.0
0,3,1.0,18,1986-09-07,Pedro,66.0,Munhoz,Pedro Munhoz,The Young Punisher,64.0,5.35,5.03,Orthodox,0.43,0.58,1.2,0.21,1.06,0.76,135.0
0,7,,8,1982-01-01,Reynaldo,69.0,Trujillo,Reynaldo Trujillo,The Truth,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,155.0
4,8,,25,1969-07-13,Dave,70.0,Strasser,Dave Strasser,,,1.88,3.04,Orthodox,0.45,0.59,0.0,0.33,0.72,0.33,170.0
0,2,1.0,8,1989-08-22,Niklas,73.0,Backstrom,Niklas Backstrom,,74.0,3.65,1.12,Orthodox,0.41,0.4,2.2,0.8,2.92,0.72,145.0
0,17,,35,1983-05-30,Bart,69.0,Palaszewski,Bart Palaszewski,Bartimus,70.0,3.97,2.67,Orthodox,0.32,0.57,0.5,0.31,0.65,0.53,145.0
0,0,,10,1988-11-18,Jordan,74.0,Johnson,Jordan Johnson,,79.0,2.64,3.45,Orthodox,0.47,0.53,1.2,0.42,3.25,1.0,205.0
0,1,,1,,Joao,69.0,Paulo Faria,Joao Paulo Faria,,,2.09,6.69,,0.64,0.85,1.2,0.5,1.25,0.0,155.0
1,2,,5,1984-11-20,Gabriel,73.0,Salinas-Jones,Gabriel Salinas-Jones,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,245.0
1,5,,12,1981-01-15,Nobuhiro,68.0,Obiya,Nobuhiro Obiya,,,2.53,0.63,Orthodox,0.28,0.55,0.5,0.5,0.5,0.41,145.0
0,2,,7,1991-11-11,Diego,68.0,Rivas,Diego Rivas,Pitbull,69.0,2.14,1.37,Orthodox,0.4,0.52,0.9,0.6,1.79,0.64,145.0
